&{Gid:61691 Gname:M4A4 | 合纵 (略有磨损) CnyPrice:427.77}
&{Gid:56711 Gname:短剑（★） | 大马士革钢 (战痕累累) CnyPrice:1388.00}
&{Gid:44083 Gname:“蓝莓” 铅弹 | 海军水面战中心海豹部队 CnyPrice:17.90}
&{Gid:54922 Gname:血猎手套（★） | 游击队 (略有磨损) CnyPrice:757.00}
&{Gid:1027 Gname:P90（StatTrak™） | 精英之作 (崭新出厂) CnyPrice:40.00}
&{Gid:46917 Gname:短剑（★） | 都市伪装 (久经沙场) CnyPrice:1120.00}
&{Gid:49847 Gname:运动手套（★） | 弹弓 (战痕累累) CnyPrice:1690.00}
&{Gid:45880 Gname:折叠刀（★） | 传说 (略有磨损) CnyPrice:2544.50}
&{Gid:886 Gname:USP 消音版 | 脑洞大开 (久经沙场) CnyPrice:12.80}
&{Gid:48776 Gname:驾驶手套（★） | 西装革履 (久经沙场) CnyPrice:1465.00}
&{Gid:740 Gname:沙漠之鹰 | 印花集 (略有磨损) CnyPrice:405.00}
&{Gid:45777 Gname:爪子刀（★） | 深红之网 (久经沙场) CnyPrice:4700.00}
&{Gid:14627 Gname:M4A4 | 都市 DDPAT (崭新出厂) CnyPrice:20.00}
&{Gid:50041 Gname:系绳匕首（★） | 深红之网 (久经沙场) CnyPrice:1410.00}
&{Gid:43963 Gname:M9 刺刀（★） | 北方森林 (久经沙场) CnyPrice:2222.00}
&{Gid:1627 Gname:AK-47 | 二西莫夫 (略有磨损) CnyPrice:292.00}
&{Gid:46060 Gname:法玛斯 | 冥界之憎 (崭新出厂) CnyPrice:38.00}
&{Gid:54180 Gname:驾驶手套（★） | 美洲豹女王 (战痕累累) CnyPrice:410.00}
&{Gid:53598 Gname:USP 消音版 | 倒吊人 (略有磨损) CnyPrice:134.00}
&{Gid:2224 Gname:M4A1 消音型 | 梦魇 (略有磨损) CnyPrice:93.00}
&{Gid:43663 Gname:AK-47 | 血腥运动 (崭新出厂) CnyPrice:523.40}
&{Gid:42968 Gname:鲍伊猎刀（★） | 外表生锈 (战痕累累) CnyPrice:535.00}
&{Gid:437 Gname:AK-47 | 翡翠细条纹 (久经沙场) CnyPrice:36.00}
&{Gid:46962 Gname:AK-47 | 美洲豹 (崭新出厂) CnyPrice:1475.00}
&{Gid:298 Gname:M4A1 消音型 | 氮化处理 (略有磨损) CnyPrice:19.70}
&{Gid:102385 Gname:AWP | 迷人眼 (略有磨损) CnyPrice:246.00}
&{Gid:48182 Gname:M4A4（StatTrak™） | 皇帝 (略有磨损) CnyPrice:679.00}
&{Gid:192 Gname:格洛克 18 型 | 水灵 (略有磨损) CnyPrice:37.00}
&{Gid:48410 Gname:短剑（★） | 蓝钢 (崭新出厂) CnyPrice:1942.49}
&{Gid:60853 Gname:熊刀（★） | 致命紫罗兰 (崭新出厂) CnyPrice:3650.00}
&{Gid:102460 Gname:印花 | 卡哇伊CT（全息） CnyPrice:30.00}
&{Gid:1414 Gname:AK-47 | 红线 (久经沙场) CnyPrice:88.00}
&{Gid:1681 Gname:刺刀（★） | 多普勒 (崭新出厂) CnyPrice:2819.00}
&{Gid:101978 Gname:印花 | nafany（全息） | 2022年安特卫普锦标赛 CnyPrice:36.00}
&{Gid:102474 Gname:印花 | 卡哇伊T（全息） CnyPrice:35.00}
&{Gid:2148 Gname:M4A1 消音型 | 毁灭者 2000 (崭新出厂) CnyPrice:130.00}
&{Gid:45360 Gname:熊刀（★） | 蓝钢 (久经沙场) CnyPrice:830.00}
&{Gid:407 Gname:AWP | 二西莫夫 (久经沙场) CnyPrice:704.00}
&{Gid:547 Gname:名称标签 CnyPrice:10.75}
&{Gid:44894 Gname:暗影双匕（★） | 多普勒 (崭新出厂) CnyPrice:908.00}
&{Gid:48516 Gname:专业手套（★） | 大腕 (战痕累累) CnyPrice:888.00}
&{Gid:34833 Gname:M4A1 消音型 | 印花集 (久经沙场) CnyPrice:696.00}
&{Gid:678 Gname:音乐盒（StatTrak™） | Roam - 决心 CnyPrice:19.50}
&{Gid:1033 Gname:沙漠之鹰（StatTrak™） | 锈蚀烈焰 (崭新出厂) CnyPrice:11.60}
&{Gid:2580 Gname:沙漠之鹰 | 飞行员 (略有磨损) CnyPrice:425.00}
&{Gid:102341 Gname:AK-47 | 可燃冰 (略有磨损) CnyPrice:150.00}
&{Gid:43951 Gname:锯齿爪刀（★） CnyPrice:2788.00}
&{Gid:2781 Gname:运动手套（★） | 干旱 (久经沙场) CnyPrice:3261.00}
&{Gid:1630 Gname:M4A1 消音型 | 机械工业 (崭新出厂) CnyPrice:313.00}
&{Gid:49236 Gname:狂牙手套（★） | 翡翠 (久经沙场) CnyPrice:666.00}
&{Gid:46878 Gname:爪子刀（★） | 表面淬火 (略有磨损) CnyPrice:4950.00}
&{Gid:1243 Gname:AK-47 | 红线 (略有磨损) CnyPrice:396.50}
&{Gid:512 Gname:M4A4 | 黑色魅影 (崭新出厂) CnyPrice:263.95}
&{Gid:2324 Gname:AUG | 变色龙 (崭新出厂) CnyPrice:33.00}
&{Gid:47225 Gname:锯齿爪刀（★） | 狩猎网格 (战痕累累) CnyPrice:1460.00}
&{Gid:2241 Gname:AWP | 猫猫狗狗 (略有磨损) CnyPrice:19.35}
&{Gid:101432 Gname:USP 消音版 | 地狱门票 (崭新出厂) CnyPrice:14.38}
&{Gid:3792 Gname:AWP | 鬼退治 (久经沙场) CnyPrice:1660.00}
&{Gid:1217 Gname:AWP | *嘣* (久经沙场) CnyPrice:393.00}
&{Gid:234 Gname:AWP | 猫猫狗狗 (崭新出厂) CnyPrice:29.90}
&{Gid:49060 Gname:裹手（★） | 警告！ (久经沙场) CnyPrice:1640.00}
&{Gid:1242 Gname:AWP | 石墨黑 (崭新出厂) CnyPrice:1096.00}
&{Gid:45214 Gname:AK-47（StatTrak™） | 表面淬火 (久经沙场) CnyPrice:1650.00}
&{Gid:102441 Gname:AWP（StatTrak™） | 迷人眼 (崭新出厂) CnyPrice:675.00}
&{Gid:31232 Gname:AK-47 | 火蛇 (久经沙场) CnyPrice:4700.00}
&{Gid:2217 Gname:M4A1 消音型 | 次时代 (久经沙场) CnyPrice:82.00}
&{Gid:53875 Gname:M4A4 | 活色生香 (略有磨损) CnyPrice:96.00}
&{Gid:2596 Gname:内格夫 | 动力装载机 (崭新出厂) CnyPrice:33.50}
&{Gid:7070 Gname:AWP | 亡灵之主 (久经沙场) CnyPrice:10.90}
&{Gid:5407 Gname:爪子刀（★） | 致命紫罗兰 (久经沙场) CnyPrice:3485.00}
&{Gid:102531 Gname:音乐盒 | 完美世界 - 花脸 CnyPrice:20.70}
&{Gid:52238 Gname:鲍伊猎刀（★） | 枯焦之色 (久经沙场) CnyPrice:539.00}
&{Gid:254 Gname:海豹突击队第六分队士兵 | 海军水面战中心海豹部队 CnyPrice:16.40}
&{Gid:3841 Gname:M4A1 消音型 | 二号玩家 (略有磨损) CnyPrice:268.98}
&{Gid:1870 Gname:锯齿爪刀（★） | 都市伪装 (久经沙场) CnyPrice:1599.99}
&{Gid:14611 Gname:AK-47 | 燃料喷射器 (破损不堪) CnyPrice:535.00}
&{Gid:10397 Gname:刺刀（★） | 大马士革钢 (久经沙场) CnyPrice:1878.00}
&{Gid:102369 Gname:截短霰弹枪 | 么么 (崭新出厂) CnyPrice:101.50}
&{Gid:4301 Gname:AK-47（StatTrak™） | 红线 (久经沙场) CnyPrice:226.00}
&{Gid:35229 Gname:穿肠刀（★） | 枯焦之色 (久经沙场) CnyPrice:450.00}
&{Gid:48546 Gname:折刀（★） | 多普勒 (崭新出厂) CnyPrice:998.00}
&{Gid:47191 Gname:运动手套（★） | 大型猎物 (久经沙场) CnyPrice:2140.00}
&{Gid:102294 Gname:USP 消音版 | 印花集 (久经沙场) CnyPrice:415.00}
&{Gid:10102 Gname:M4A1 消音型 | 印花集 (略有磨损) CnyPrice:1100.00}
&{Gid:56645 Gname:狂牙手套（★） | 翡翠 (破损不堪) CnyPrice:610.00}
&{Gid:864 Gname:AWP | 浮生如梦 (崭新出厂) CnyPrice:67.60}
&{Gid:2663 Gname:锯齿爪刀（★） | 狩猎网格 (久经沙场) CnyPrice:1435.00}
&{Gid:102315 Gname:AK-47 | 可燃冰 (久经沙场) CnyPrice:83.00}
&{Gid:48348 Gname:流浪者匕首（★） | 枯焦之色 (久经沙场) CnyPrice:859.50}
&{Gid:1918 Gname:AK-47 | 幻影破坏者 (略有磨损) CnyPrice:43.00}
&{Gid:51833 Gname:流浪者匕首（★） | 狩猎网格 (久经沙场) CnyPrice:858.00}
&{Gid:44087 Gname:折叠刀（★） | 黑色层压板 (久经沙场) CnyPrice:1228.00}
&{Gid:53384 Gname:AK-47（StatTrak™） | 墨岩 (久经沙场) CnyPrice:59.99}
&{Gid:12903 Gname:AK-47 | 阿努比斯军团 (略有磨损) CnyPrice:79.00}
&{Gid:2135 Gname:摩托手套（★） | 嘭！ (久经沙场) CnyPrice:2500.00}
&{Gid:3795 Gname:AWP | 红线 (略有磨损) CnyPrice:354.00}
&{Gid:62068 Gname:弯刀（★） | 自动化 (久经沙场) CnyPrice:908.00}
&{Gid:101923 Gname:印花 | G2 Esports（金色）| 2022年安特卫普锦标赛 CnyPrice:164.00}
&{Gid:46874 Gname:刺刀（★） | 伽玛多普勒 (崭新出厂) CnyPrice:3495.00}
&{Gid:2097 Gname:裹手（★） | 钴蓝骷髅 (久经沙场) CnyPrice:2870.00}
&{Gid:2026 Gname:蝴蝶刀（★） | 狩猎网格 (久经沙场) CnyPrice:3329.90}
&{Gid:3745 Gname:熊刀（★） | 多普勒 (崭新出厂) CnyPrice:2079.00}
&{Gid:52101 Gname:求生匕首（★） | 深红之网 (久经沙场) CnyPrice:1403.00}
&{Gid:101863 Gname:印花 | Copenhagen Flames（全息）| 2022年安特卫普锦标赛 CnyPrice:13.87}
&{Gid:50474 Gname:沙漠之鹰 | 印花集 (破损不堪) CnyPrice:290.00}
&{Gid:100294 Gname:印花 | FaZe Clan （闪亮） | 2021年斯德哥尔摩锦标赛 CnyPrice:17.89}
&{Gid:43855 Gname:骷髅匕首（★） | 狩猎网格 (战痕累累) CnyPrice:1499.00}
&{Gid:527 Gname:AWP | 黑色魅影 (略有磨损) CnyPrice:192.98}
&{Gid:837 Gname:M4A1 消音型 | 毁灭者 2000 (久经沙场) CnyPrice:55.90}
&{Gid:47761 Gname:P90 | 困兽之斗 (略有磨损) CnyPrice:28.97}
&{Gid:53452 Gname:驾驶手套（★） | 绯红列赞 (久经沙场) CnyPrice:500.00}
&{Gid:61735 Gname:格洛克 18 型 | 伽玛多普勒 (崭新出厂) CnyPrice:104.00}
&{Gid:45724 Gname:AWP | 渐变之色 (崭新出厂) CnyPrice:4734.00}
&{Gid:1022 Gname:裹手（★） | 防水布胶带 (久经沙场) CnyPrice:386.00}
&{Gid:51328 Gname:运动手套（★） | 弹弓 (破损不堪) CnyPrice:3500.00}
&{Gid:44504 Gname:刺刀（★） | 自由之手 (略有磨损) CnyPrice:1989.00}
&{Gid:101464 Gname:AK-47 | 夜愿 (破损不堪) CnyPrice:89.90}
&{Gid:3876 Gname:M4A1 消音型 | 女火神之炽焰 (破损不堪) CnyPrice:90.00}
&{Gid:101665 Gname:印花 | FURIA（全息）| 2022年安特卫普锦标赛 CnyPrice:38.00}
&{Gid:1220 Gname:加利尔 AR | 经济 (久经沙场) CnyPrice:26.00}
&{Gid:1208 Gname:USP 消音版 | 黑色魅影 (略有磨损) CnyPrice:140.00}
&{Gid:497 Gname:AK-47 | 皇后 (久经沙场) CnyPrice:146.00}
&{Gid:215 Gname:海军上尉里克索尔 | 海军水面战中心海豹部队 CnyPrice:41.50}
&{Gid:745 Gname:AWP | 黑色魅影 (崭新出厂) CnyPrice:233.50}
&{Gid:103122 Gname:2022年里约热内卢锦标赛炙热沙城 II 纪念包 CnyPrice:16.36}
&{Gid:44412 Gname:海豹短刀（★） | 渐变之色 (崭新出厂) CnyPrice:3359.00}
&{Gid:52220 Gname:短剑（★） | 表面淬火 (略有磨损) CnyPrice:2170.00}
&{Gid:47054 Gname:折叠刀（★） | 澄澈之水 (久经沙场) CnyPrice:1144.00}
&{Gid:2480 Gname:驾驶手套（★） | 王蛇 (久经沙场) CnyPrice:3148.00}
&{Gid:44259 Gname:短剑（★） | 人工染色 (久经沙场) CnyPrice:1425.00}
&{Gid:101065 Gname:布章 | Entropiq （金色） | 2021年斯德哥尔摩锦标赛 CnyPrice:59.89}
&{Gid:50121 Gname:短剑（★） | 狩猎网格 (久经沙场) CnyPrice:910.00}
&{Gid:2468 Gname:AK-47 | 混沌点阵 (略有磨损) CnyPrice:95.00}
&{Gid:4361 Gname:刺刀（★） | 传说 (久经沙场) CnyPrice:3015.00}
&{Gid:43574 Gname:折叠刀（★） | 多普勒 (崭新出厂) CnyPrice:1970.00}
&{Gid:919 Gname:MAC-10 | 渐变迪斯科 (久经沙场) CnyPrice:19.99}
&{Gid:34713 Gname:摩托手套（★） | 玳瑁 (久经沙场) CnyPrice:1068.00}
&{Gid:1534 Gname:音乐盒（StatTrak™） | Blitz Kids - 有为青年 CnyPrice:137.00}
&{Gid:2414 Gname:沙漠之鹰 | 机械工业 (略有磨损) CnyPrice:33.50}
&{Gid:10395 Gname:AK-47 | 复古浪潮 (略有磨损) CnyPrice:29.50}
&{Gid:61307 Gname:流浪者匕首（★ StatTrak™） | 北方森林 (战痕累累) CnyPrice:838.00}
&{Gid:102438 Gname:AK-47（StatTrak™） | 可燃冰 (战痕累累) CnyPrice:115.00}
&{Gid:295 Gname:专业手套（★） | 狩鹿 (久经沙场) CnyPrice:432.00}
&{Gid:53364 Gname:AK-47 | 墨岩 (久经沙场) CnyPrice:18.49}
&{Gid:52812 Gname:刺刀（★） | 致命紫罗兰 (破损不堪) CnyPrice:1495.00}
&{Gid:34966 Gname:残酷的达里尔爵士（迈阿密）| 专业人士 CnyPrice:197.00}
&{Gid:48179 Gname:短剑（★） | 表面淬火 (久经沙场) CnyPrice:1900.00}
&{Gid:61562 Gname:沙漠之鹰 | 纵横波涛 (略有磨损) CnyPrice:179.00}
&{Gid:47239 Gname:流浪者匕首（★） | 蓝钢 (战痕累累) CnyPrice:1550.00}
&{Gid:13157 Gname:M4A1 消音型 | 金蛇缠绕 (久经沙场) CnyPrice:229.66}
&{Gid:296 Gname:AWP | 珊瑚树 (略有磨损) CnyPrice:94.00}
&{Gid:44701 Gname:专业手套（★） | 陆军少尉长官 (久经沙场) CnyPrice:1698.88}
&{Gid:3744 Gname:法玛斯 | 防滚架 (略有磨损) CnyPrice:36.00}
&{Gid:743 Gname:AK-47 | 火神 (略有磨损) CnyPrice:1720.00}
&{Gid:43665 Gname:熊刀（★） | 大马士革钢 (久经沙场) CnyPrice:806.00}
&{Gid:52550 Gname:M9 刺刀（★） | 人工染色 (战痕累累) CnyPrice:2330.00}
&{Gid:3467 Gname:刺刀（★） | 致命紫罗兰 (久经沙场) CnyPrice:1389.50}
&{Gid:54764 Gname:流浪者匕首（★） | 表面淬火 (破损不堪) CnyPrice:1659.00}
&{Gid:53442 Gname:M4A4 | 活色生香 (久经沙场) CnyPrice:25.00}
&{Gid:61691 Gname:M4A4 | 合纵 (略有磨损) CnyPrice:427.77}
&{Gid:55085 Gname:运动手套（★） | 猩红头巾 (破损不堪) CnyPrice:1550.00}
&{Gid:45679 Gname:短剑（★） | 狩猎网格 (略有磨损) CnyPrice:988.00}
&{Gid:1024 Gname:M4A4 | 地狱烈焰 (略有磨损) CnyPrice:289.00}
&{Gid:2177 Gname:USP 消音版 | 枪响人亡 (略有磨损) CnyPrice:399.00}
&{Gid:47600 Gname:摩托手套（★） | 小心烟雾弹 (久经沙场) CnyPrice:1316.00}
&{Gid:48620 Gname:专业手套（★） | 陆军少尉长官 (略有磨损) CnyPrice:3098.50}
&{Gid:541 Gname:AWP | 野火 (久经沙场) CnyPrice:314.00}
&{Gid:45099 Gname:AK-47（StatTrak™） | 火神 (久经沙场) CnyPrice:1800.00}
&{Gid:2025 Gname:M9 刺刀（★） | 外表生锈 (战痕累累) CnyPrice:2480.00}
&{Gid:48148 Gname:沙漠之鹰（StatTrak™） | 钴蓝禁锢 (崭新出厂) CnyPrice:525.00}
&{Gid:45026 Gname:摩托手套（★） | 终点线 (久经沙场) CnyPrice:1224.00}
&{Gid:44228 Gname:AWP | 鬼退治 (崭新出厂) CnyPrice:2769.99}
&{Gid:61490 Gname:MP9 | 富士山 (崭新出厂) CnyPrice:35.00}
&{Gid:52757 Gname:系绳匕首（★） | 狩猎网格 (破损不堪) CnyPrice:555.00}
&{Gid:655 Gname:P250 | 生化短吻鳄 (久经沙场) CnyPrice:23.50}
&{Gid:34774 Gname:求生匕首（★） CnyPrice:1225.00}
&{Gid:44035 Gname:M9 刺刀（★） | 森林 DDPAT (久经沙场) CnyPrice:2190.00}
&{Gid:54403 Gname:专业手套（★） | 狩鹿 (略有磨损) CnyPrice:697.90}
&{Gid:297 Gname:蝴蝶刀（★） | 森林 DDPAT (久经沙场) CnyPrice:3360.00}
&{Gid:44723 Gname:AUG | 汪之萌杀 (崭新出厂) CnyPrice:53.00}
&{Gid:61559 Gname:沙漠之鹰 | 纵横波涛 (久经沙场) CnyPrice:110.00}
&{Gid:1916 Gname:M4A1 消音型 | 女火神之炽焰 (久经沙场) CnyPrice:124.90}
&{Gid:101126 Gname:沙漠之鹰（纪念品） | 沙漠之狐 (久经沙场) CnyPrice:1000.00}
&{Gid:101857 Gname:印花 | Vitality（全息）| 2022年安特卫普锦标赛 CnyPrice:13.19}
&{Gid:44277 Gname:格洛克 18 型 | 核子花园 (久经沙场) CnyPrice:24.00}
&{Gid:49482 Gname:裹手（★） | 蟒蛇 (久经沙场) CnyPrice:419.00}
&{Gid:894 Gname:沙漠之鹰 | 红色代号 (略有磨损) CnyPrice:212.50}
&{Gid:51790 Gname:短剑（★） | 大马士革钢 (崭新出厂) CnyPrice:1850.00}
&{Gid:604 Gname:骷髅匕首（★） | 枯焦之色 (战痕累累) CnyPrice:1509.00}
&{Gid:61993 Gname:猎杀者匕首（★） | 传说 (久经沙场) CnyPrice:1256.00}
&{Gid:46298 Gname:M4A1 消音型 | 印花集 (崭新出厂) CnyPrice:1940.00}
&{Gid:1567 Gname:AK-47 | 二西莫夫 (久经沙场) CnyPrice:155.00}
&{Gid:103158 Gname:Revolution Case CnyPrice:60.00}
&{Gid:44357 Gname:SSG 08（StatTrak™） | 裂痕 (战痕累累) CnyPrice:15.00}
&{Gid:47770 Gname:短剑（★） | 大马士革钢 (略有磨损) CnyPrice:1720.00}
&{Gid:1478 Gname:M4A4 | 龙王 (久经沙场) CnyPrice:38.00}
&{Gid:1644 Gname:沙漠之鹰 | 印花集 (久经沙场) CnyPrice:282.00}
&{Gid:55606 Gname:刺刀（★ StatTrak™） | 自动化 (久经沙场) CnyPrice:2745.00}
&{Gid:101449 Gname:双持贝瑞塔 | 瓜瓜 (略有磨损) CnyPrice:25.50}
&{Gid:43530 Gname:裹手（★） | 套印 (久经沙场) CnyPrice:1660.00}
&{Gid:43809 Gname:AWP | 电子蜂巢 (略有磨损) CnyPrice:244.88}
&{Gid:56711 Gname:短剑（★） | 大马士革钢 (战痕累累) CnyPrice:1388.00}
&{Gid:44083 Gname:“蓝莓” 铅弹 | 海军水面战中心海豹部队 CnyPrice:17.90}
&{Gid:54922 Gname:血猎手套（★） | 游击队 (略有磨损) CnyPrice:757.00}
&{Gid:1027 Gname:P90（StatTrak™） | 精英之作 (崭新出厂) CnyPrice:40.00}
&{Gid:46917 Gname:短剑（★） | 都市伪装 (久经沙场) CnyPrice:1120.00}
&{Gid:49847 Gname:运动手套（★） | 弹弓 (战痕累累) CnyPrice:1690.00}
&{Gid:45880 Gname:折叠刀（★） | 传说 (略有磨损) CnyPrice:2544.50}
&{Gid:886 Gname:USP 消音版 | 脑洞大开 (久经沙场) CnyPrice:12.80}
&{Gid:48776 Gname:驾驶手套（★） | 西装革履 (久经沙场) CnyPrice:1465.00}
&{Gid:740 Gname:沙漠之鹰 | 印花集 (略有磨损) CnyPrice:405.00}
&{Gid:45777 Gname:爪子刀（★） | 深红之网 (久经沙场) CnyPrice:4700.00}
&{Gid:14627 Gname:M4A4 | 都市 DDPAT (崭新出厂) CnyPrice:20.00}
&{Gid:50041 Gname:系绳匕首（★） | 深红之网 (久经沙场) CnyPrice:1410.00}
&{Gid:43963 Gname:M9 刺刀（★） | 北方森林 (久经沙场) CnyPrice:2222.00}
&{Gid:1627 Gname:AK-47 | 二西莫夫 (略有磨损) CnyPrice:292.00}
&{Gid:46060 Gname:法玛斯 | 冥界之憎 (崭新出厂) CnyPrice:38.00}
&{Gid:54180 Gname:驾驶手套（★） | 美洲豹女王 (战痕累累) CnyPrice:410.00}
&{Gid:53598 Gname:USP 消音版 | 倒吊人 (略有磨损) CnyPrice:134.00}
&{Gid:2224 Gname:M4A1 消音型 | 梦魇 (略有磨损) CnyPrice:93.00}
&{Gid:43663 Gname:AK-47 | 血腥运动 (崭新出厂) CnyPrice:523.40}
&{Gid:42968 Gname:鲍伊猎刀（★） | 外表生锈 (战痕累累) CnyPrice:535.00}
&{Gid:437 Gname:AK-47 | 翡翠细条纹 (久经沙场) CnyPrice:36.00}
&{Gid:46962 Gname:AK-47 | 美洲豹 (崭新出厂) CnyPrice:1475.00}
&{Gid:298 Gname:M4A1 消音型 | 氮化处理 (略有磨损) CnyPrice:19.70}
&{Gid:102385 Gname:AWP | 迷人眼 (略有磨损) CnyPrice:246.00}
&{Gid:48182 Gname:M4A4（StatTrak™） | 皇帝 (略有磨损) CnyPrice:679.00}
&{Gid:192 Gname:格洛克 18 型 | 水灵 (略有磨损) CnyPrice:37.00}
&{Gid:48410 Gname:短剑（★） | 蓝钢 (崭新出厂) CnyPrice:1942.49}
&{Gid:60853 Gname:熊刀（★） | 致命紫罗兰 (崭新出厂) CnyPrice:3650.00}
&{Gid:102460 Gname:印花 | 卡哇伊CT（全息） CnyPrice:30.00}
&{Gid:1414 Gname:AK-47 | 红线 (久经沙场) CnyPrice:88.00}
&{Gid:1681 Gname:刺刀（★） | 多普勒 (崭新出厂) CnyPrice:2819.00}
&{Gid:101978 Gname:印花 | nafany（全息） | 2022年安特卫普锦标赛 CnyPrice:36.00}
&{Gid:102474 Gname:印花 | 卡哇伊T（全息） CnyPrice:35.00}
&{Gid:2148 Gname:M4A1 消音型 | 毁灭者 2000 (崭新出厂) CnyPrice:130.00}
&{Gid:45360 Gname:熊刀（★） | 蓝钢 (久经沙场) CnyPrice:830.00}
&{Gid:407 Gname:AWP | 二西莫夫 (久经沙场) CnyPrice:704.00}
&{Gid:547 Gname:名称标签 CnyPrice:10.75}
&{Gid:44894 Gname:暗影双匕（★） | 多普勒 (崭新出厂) CnyPrice:908.00}
&{Gid:48516 Gname:专业手套（★） | 大腕 (战痕累累) CnyPrice:888.00}
&{Gid:34833 Gname:M4A1 消音型 | 印花集 (久经沙场) CnyPrice:696.00}
&{Gid:678 Gname:音乐盒（StatTrak™） | Roam - 决心 CnyPrice:19.50}
&{Gid:1033 Gname:沙漠之鹰（StatTrak™） | 锈蚀烈焰 (崭新出厂) CnyPrice:11.60}
&{Gid:2580 Gname:沙漠之鹰 | 飞行员 (略有磨损) CnyPrice:425.00}
&{Gid:102341 Gname:AK-47 | 可燃冰 (略有磨损) CnyPrice:150.00}
&{Gid:43951 Gname:锯齿爪刀（★） CnyPrice:2788.00}
&{Gid:2781 Gname:运动手套（★） | 干旱 (久经沙场) CnyPrice:3261.00}
&{Gid:1630 Gname:M4A1 消音型 | 机械工业 (崭新出厂) CnyPrice:313.00}
&{Gid:49236 Gname:狂牙手套（★） | 翡翠 (久经沙场) CnyPrice:666.00}
